title,property_number,property_price,additional_cost,debt,built_year,size,rooms,bathrooms,bedrooms,shared_entrance,parking,elevator,laus_strax,price,price_per_sqm,property_type,property_address,latitude,longitude,description,url
Skeifan 8,F2023315,0 kr.,0 kr.,0 kr.,,1800 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu:  Laust í þessari glæsilegu byggingu að Skeifunni 8 samtals um 1800 gólffermetra skrifstofuhúsnæði á efstu hæð. Möguleiki er á tví- og þrískiptingu á leigurýminu.  Allar nánari upplýsingar veitir: Halldór Már Sverrisson,  löggiltur fasteignasali / B.Sc. í viðskiptafræði  í síma 898-5599 eða  halldor@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueignar ehf, www.atvinnueign.is                - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/633145
Grænásbraut - Ásbrú,F2310623,0 kr.,0 kr.,0 kr.,,2000 m²,1 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,262 Reykjanesbær,,,"Atvinnueign fasteignamiðlun og Halldór Már Sverrisson löggiltur fasteignasali kynnir: Til leigu 2.061 fm verslunarhúnæði við Grænásbraut (Ásbrú - Reykjanesbæ). Húsnæðið gæti m.a hentað mjög vel fyrir matvöruverslun og veitingastaði. Stórt malbikað útsvæði er við húsið.  Allar nánari upplýsingar á utan opnunartíma veitir: Halldór Már Sverrisson,  löggiltur fasteignasali / B.Sc. í viðskiptafræði  í síma 898-5599 eða   halldor@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,   www.atvinnueign.is              - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/633308
Suðurlandsbraut 32,F5383123,0 kr.,0 kr.,0 kr.,,40 m²,0 herb.,,,Sameiginl. inngangur,,Lyfta,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.13547961,-21.8739375,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 40 m² skrifstofurými á 3. hæð við Suðurlandsbraut 32. Laust júlí 2024. Mjög snyrtilegt vinnurýmið þar sem rekin er fótaaðgerðastofa í dag. Til staðar eru þrír skolvaskar. Möguleiki er á að kaupa hluta þeirra innréttinga sem er til staðar í húsnæðinu í dag. Tveir opnanlegir gluggar eru á rýminu og dúkur á gólfi. Kaffikrókur og tvö salerni eru í sameign. Rýmið sjálft er 24 m² og með sameign samtals um 40 m². Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina.   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/633539
Stórhöfði 23,F5458525,0 kr.,0 kr.,0 kr.,,25 m²,1 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,110 Reykjavík,64.12829666,-21.80631688,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 3-4 manna skrifstofa á jarðhæð við Stórhöfða 23 í Reykjavík. Laust STRAX. Ekki vsk húsnæði. Næg bílastæði framan og neðan við húsið. Glæsilegt útsýni. Í sameign er fundarherbergi, salerni og stór kaffistofa. Frábært útsýni til norðurs yfir voginn. Gæti hentað vel fyrir t.d. auglýsingastofu, bókhaldsstofu eða tölvufyrirtæki. Stærð rýmisins er um 25 m² auk sameignar. Húsaleiga er án vsk. Hafðu samband við Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/633542
Stórhöfði 23,,0 kr.,0 kr.,0 kr.,,12 m²,1 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,110 Reykjavík,64.12829666,-21.80631688,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 1-2 manna skrifstofuherbergi á jarðhæð við Stórhöfða 23 í Reykjavík. Laust STRAX. Ekki vsk húsnæði. Næg bílastæði framan og neðan við húsið. Glæsilegt útsýni. Í sameign er fundarherbergi, salerni og stór kaffistofa. Frábært útsýni til norðurs yfir voginn. Gæti hentað vel fyrir t.d. auglýsingastofu, bókhaldsstofu eða tölvufyrirtæki. Stærð rýmisins er um 12 m² auk sameignar. Húsaleiga er án vsk. Hafðu samband við Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/633544
Stórhöfði 23,,0 kr.,0 kr.,0 kr.,,62 m²,1 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,110 Reykjavík,64.12829666,-21.80631688,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 5-6 manna skrifstofuaðstaða á jarðhæð við Stórhöfða 23 í Reykjavík. Laust STRAX. Ekki vsk húsnæði. Næg bílastæði framan og neðan við húsið. Glæsilegt útsýni. Húsnæðið er eitt opið vinnurými auk einnar skrifstofu sem einnig væri hægt að nota sem fundarherbergi. Í sameign er fundarherbergi, salerni og stór kaffistofa. Frábært útsýni til norðurs yfir voginn. Gæti hentað vel fyrir t.d. auglýsingastofu, bókhaldsstofu eða tölvufyrirtæki. Stærð rýmisins er um 62 m² auk sameignar. Hafðu samband við Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/633547
Snorrabraut 62,F2522463,8.010.000 kr.,0 kr.,0 kr.,Byggt 2023,"76,7 m²",3 herb.,1 baðherb.,2 svefnh.,Sameiginl. inngangur,,Lyfta,,360.000 kr.,4.694                                            þ.kr./m,fjölbýlishús,105 Reykjavík,,,"Lind fasteignasala kynnir með stolti: Laus  til leigu strax: Ný 3ja. herb. 76,7 fm. íbúð á 2.hæð merkt 02 11. Langtímaleiga eitt til tvö ár í senn. Hrein vanskilaskrá skilyrði, meðmæli frá fyrri leigusala ef við á. Leiguverð 360.000 kr á mánuði með öllu. Leigutaki útvegar bankaábyrgð að andvirði þriggja mánaða leigu. Áhugsamir mega senda tölvupóst á erla@fastlind.is. Láta fylgja með smá upplýsingar um sig, nafn og kennitala, atvinna og það sem viðkomandi telur skipta máli. Lind fasteignasala kynnir með stolti: Nýjar fullbúnar og glæsilegar íbúðir í 35 íbúða lyftu húsi við Snorrabraut 62, 101 Reykjavík. Fullbúnar með gólfefnum. Vélrænn loftræsting í öllum íbúðum. Hér má skoða allar íbúðir. 3ja. herb. 76,7 fm. íbúð á 2.hæð merkt 02 11.  Hér má skoða allar íbúðir Mjög gott skipulag þar sem hver fm nýtist. Granítborðplötur frá S.Helgasyni. Mynddyrasími fylgir í hverri íbúð. Sjónvarps- og símalagnir tengdar í gegnum ljósleiðara sem tengdur er inn í hverja íbúð hússins. Innréttingar og fataskápar:  Vandaðar HTH innréttingar og skápar. Gólfefni:  Fallegt og sterkt Tundra Oak Plank parket frá Agli Árnasyni. Baðherbergi og þvottahús : Gólf flísalagt með 60x30 flísum frá Agli Árnasyni.  Sturta með vatnshalla og gólfrennu, afmarkaður með glerskilrúmi (þar sem við á). Tengi fyrir þvottavél. Eldhús:  Eldhúsinnrétting í brúngráum lit. Borðplata úr steini (Meteor Cold) frá S. Helgasyni. Svört eldhústæki frá AEG, keramik helluborð og blástursofn og gufugleypir. Stálvaskur felldur inn í granít plötu. Svefnherbergi:  Parketlögð með hvítum skápum.",https://fasteignir.visir.is/property/633991
Bæjarlind 2,F2240740,0 kr.,0 kr.,0 kr.,Byggt 1999,162 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,201 Kópavogur,64.09916665,-21.8746,"Atvinnueign kynnir til leigu: 162 fm skrifstofurými á annarri hæði hússins, merkt nr. 7, 8, og 9 á grunnmynd. Glæsilegt útsýni og nálægt stofnbrautum. Góð bílastæði eru við húsið.  VSK bætist ekki við leiguverð Eignin er laus strax. Allar nánari upplýsingar veita: Ólafur Ingi Guðmundsson , löggiltur fasteignasali í síma  847-7700 eða  olafur@atvinnueign.is  Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,  www.atvinnueign.is - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/551503
Vesturvör 29,F2240718,0 kr.,0 kr.,0 kr.,,1970 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,200 Kópavogur,,,"Atvinnueign kynnir til leigu:  1970 fm iðnaðarhúsnæði við Vesturvör 29 í Kópavogi. Um er að ræða vandað iðnaðarhúsnæði sem skiptist annars vegar í 1670 fermetra vinnusal með góðri lofthæð og þremur innkeyrsluhurðum og hins vegar í 155 fm lager með innkeyrsluhurð. Í rýminu eru einnig gönguhurðir, kaffistofa og fjögur salerni. Mikil lofthæð er í húsinu og stór hlaupaköttur í lofti sem má semja um til kaups eða leigu. Næg bílastæði eru til staðar og gott útisvæði.  Laust strax. VSK bætist við leiguverð.  Vandað hús og frábær staðsetning sem gæti meðal annars nýst fyrir heildsölu eða hátækniiðnað.  Allar nánari upplýsingar veita: Ólafur Ingi Guðmundsson , löggiltur fasteignasali og leigumiðlari í síma  847-7700  eða  olafur@atvinnueign.is  Davíð Jens Guðlaugsson  löggiltur leigumiðlari í  david@atvinnueign .is eða í síma  846-7495 Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueignar ehf,  www.atvinnueign.is                     - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/631298
Víkurhvarf 2,F2307908,0 kr.,0 kr.,0 kr.,,95 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,203 Kópavogur,,,"Atvinnueign kynnir til leigu : Um 95 fm opið skrifstofurými á 3. hæð (efstu hæð) í Víkurhvarfi 2, 203 Kópavogi. Sameiginleg snyrting og eldhús eru á hæðinni. Skrifstofan er með stórglæsilegu útsýni yfir Víðidal og Elliðavatn. Næg bílastæði.  VSK bætist við leiguverð. Laust eftir samkomulagi.  Allar nánari upplýsingar veita: Halldór Már Sverrisson , viðskiptafræðingur, lögg. fasteignasali og leigumiðlari. í síma  898-5599  eða  halldor@atvinnueign.is Ólafur Ingi Guðmundsson , löggiltur fasteignasali og leigumiðlari, í síma  847-7700  eða  olafur@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,  www.atvinnueign.is               - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/631302
Síðumúli 23,F2015543,0 kr.,0 kr.,0 kr.,,70 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu : 70 fm verslunarrými á jarðhæð við Síðumúla 23, Inngangur er frá Selmúla.  Um er að ræða 70 fm rými með sameign. Rýmið sjálft er um 40 fm en um 30 fm er hluti af sameign sem leigutaki hefur afnot af.  Hentar mjög vel fyrir þá sem eru að stíga sín fyrstu skref í verslunarrekstri, netverslanir og heildsölu.  Möguleiki er á að skipta rýminu í tvennt. Leiguverð er 300.000 kr   fyrir allt rýmið. Laust strax. VSK bætist við leiguverð.  Allar nánari upplýsingar veitir : Ólafur Ingi Guðmundsson , lögg. fasteignasali og leigumiðlari, í síma  847-7700  -  olafur@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,  www.atvinnueign.is                         - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/631303
Ármúli 19,F2012759,0 kr.,0 kr.,0 kr.,Byggt 1974,380 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu:  Um 380 fm verkstæði, lager- og skrifstofa í Ármúla 19, vinsælum stað í Múlunum. Góð aðkoma er að byggingunni, stór lagerhurð og ágæt lofthæð. Til staðar er rúmgóð kaffistofa, skrifstofa og salerni.  VSK bætist við leiguverð. Laust strax.   Allar nánari upplýsingar veita: Ólafur Ingi Guðmundsson , löggiltur fasteignasali og leigumiðlari í síma  847-7700  eða  olafur@atvinnueign.is  Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,  www.atvinnueign.is                     - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/529352
Suðurlandsbraut 10,F2012702,0 kr.,0 kr.,0 kr.,,96 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu: Nýlega endurnýjað 96 fm skrifstofurými við Suðurlandsbraut 10. Um er að ræða opið skrifstofurými með kaffikrók og glerfundarherbergi. Gott útsýni er til norðurs yfir Laugardalinn.  Virðisaukaskattur leggst við leigufjárhæð.   Allar nánari upplýsingar á og utan opnunartíma veitir: Ólafur Ingi Guðmundsson , löggiltur fasteignasali og leigumiðlari í síma  847-7700  eða  olafur@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,  www.atvinnueign.is                     - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/631306
Suðurlandsbraut 10,F2012704,0 kr.,0 kr.,0 kr.,,209 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu : 209 fm verslunarrými á jarðhæð á Suðurlandsbraut 10 á þessum vinsæla stað. Umrætt rými er endabil, lengst til vesturs, merkt 01-06 á grunnmynd. Stórir gluggar og mikill sýnileiki frá götu. Kaffiaðstaða og snyrting er til staðar.  VSK bætist við leiguverð. Laust eftir samkomulagi.    Allar nánari upplýsingar veitir:  Ólafur Ingi Guðmundsson , löggiltur fasteignasali og leigumiðlari í síma  847-7700  eða  olafur@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,  www.atvinnueign.is                     - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/631309
